Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2015-01-02,77.96934509277344,78.4464075381313,77.22394023497388,78.0985534543549,18177500
2015-01-05,76.7170639038086,78.76443998031914,76.38908397427544,77.50222453088053,26452200
2015-01-06,75.68343353271484,77.11460555449486,74.8982729209875,76.756818236037,27399300
2015-01-07,75.68343353271484,76.88601900151762,75.35545360959148,76.2896966938885,22045300
2015-01-08,77.70098876953125,77.75068545088082,75.61385705788155,76.26980927233193,23961000
2015-01-09,77.2636947631836,78.13830796776439,76.72700236473179,77.7208754916462,21157000
2015-01-12,76.24993896484375,77.5220952115009,75.74306160378057,77.36307188934407,19190200
2015-01-13,75.9815902709961,77.60160816621499,75.38526796826591,76.75681760545976,25179600
2015-01-14,75.81263732910156,76.72699874286471,75.56416905910181,75.95177895368944,25918600
2015-01-15,73.59630584716797,76.10086271460418,73.08942844468505,75.93190610799319,34134000
2015-01-16,74.7193832397461,74.85852487323916,73.38758928433337,73.58636846264514,21791500
2015-01-20,75.77288055419922,75.84245136562846,74.36158261797765,75.25606989538912,22821600
2015-01-21,76.26982116699219,76.82639527084187,75.38527469609286,75.69338051974273,25096700
2015-01-22,77.17423248291016,77.27361825674282,76.2101745531714,76.69717015280544,19519500
2015-01-23,77.35314178466797,77.71093669151557,76.56798116034403,77.17424433124417,16746500
2015-01-26,77.02515411376953,77.98921209461085,76.81644170286299,77.50221646916226,19260800
2015-01-27,75.3156967163086,76.40895552865817,75.16661424584059,76.23999893403085,20110000
2015-01-28,75.77288055419922,77.16430436543375,75.53435314110608,76.42884041851755,53306400
2015-01-29,77.5220947265625,77.5419688503831,73.7553151113411,76.3791392493205,61293500
2015-01-30,75.44491577148438,77.6811303979707,75.28589242503978,77.5221070515261,42649500
2015-02-02,74.5305404663086,75.67349602974973,73.29813996495504,75.6436810504456,41955300
2015-02-03,74.93801879882812,75.11691622561966,73.40745361020022,74.72930639801275,26957700
2015-02-04,75.16661834716797,75.88220817833964,74.55042189016447,74.62992597378923,20277400
2015-02-05,75.14673614501953,75.51447187502725,74.74918543902585,75.24612192585569,15062600
2015-02-06,74.01371765136719,75.23617709810016,73.7950643954901,75.21630297604253,21211000
2015-02-09,73.9839096069336,74.37151947587766,72.99996986332235,73.59629973798953,16194300
2015-02-10,74.72931671142578,74.87839160211882,74.04354188363952,74.3913959330059,15811300
2015-02-11,76.04122924804688,76.27975665712269,74.57029379633848,74.62992375294503,20877400
2015-02-12,75.76295471191406,76.39903293096582,75.42503389280192,76.38909207617267,17235000
2015-02-13,75.27593994140625,76.01141143111928,75.03741254123817,75.99152972455984,18621900
2015-02-17,75.13679504394531,76.43877379134005,74.61998443571501,74.83863770242172,25254400
2015-02-18,76.23999786376953,76.4288361625547,74.98771574512718,75.47471898066269,22426400
2015-02-19,78.93340301513672,79.35082791439771,76.47853514436567,76.518290979912,45851200
2015-02-20,79.41045379638672,79.84775275787159,78.71473815047806,79.06259976475698,36931700
2015-02-23,78.35694885253906,79.6986835572241,77.89976815227924,79.47008941576932,24139100
2015-02-24,77.96934509277344,78.99304080024444,77.62149100899704,78.01904178302021,18897100
2015-02-25,79.0725326538086,79.70861076076334,78.01902971091154,78.01902971091154,25593800
2015-02-26,79.91734313964844,80.87146044786219,79.2315682439181,79.3905840039619,31111900
2015-02-27,78.48615264892578,80.73230776997421,78.13829861268249,80.18567458255669,30739200
2015-03-02,79.2613754272461,79.37070206893013,78.03890824416538,78.51597064266385,21662500
2015-03-03,79.11229705810547,79.2116828513426,78.03891229278447,79.12223791222418,18635000
2015-03-04,80.40432739257812,80.65279564312216,78.36688470505737,78.81413210562619,28126700
2015-03-05,80.7124252319336,81.48764495690261,80.55340949528188,80.73230693817082,27825700
2015-03-06,79.51979064941406,80.83170286772635,79.3408931840692,80.40433712177196,24488600
2015-03-09,78.95327758789062,79.42039913502542,78.14823526048082,79.19180499695854,18925100
2015-03-10,77.07485961914062,78.77438165908981,77.07485961914062,78.01903600267357,23067100
2015-03-11,77.0947265625,77.94945792977447,76.78662836591818,77.32332068369394,20215700
2015-03-12,78.44639587402344,78.56566336329173,77.43264875451513,77.62147946754509,16093300
2015-03-13,77.5718002319336,78.8936457218357,77.20406444691261,78.11842589963216,18557300
2015-03-16,77.59165954589844,77.64135622558865,76.88601067366008,77.48233291669897,19305400
2015-03-17,78.87376403808594,79.2911888896364,77.86000930414974,77.87989101097563,22170000
2015-03-18,80.41427612304688,80.74224848307942,78.68493147034802,78.76444313814682,36912400
2015-03-19,82.24300384521484,82.49147213477742,80.50372581827676,80.62299332702096,42099500
2015-03-20,83.28656005859375,84.08165390542938,82.56102943549016,82.87906849075425,44466300
2015-03-23,83.9126968383789,84.43944830978833,82.78962308957483,83.40581949040134,27357300
2015-03-24,84.78730773925781,85.54265338280689,84.00214711733766,84.19098542388734,32576500
2015-03-25,82.41195678710938,84.99602536679328,82.41195678710938,84.97615124088075,37436100
2015-03-26,82.50141906738281,83.25675726379053,81.63674662625044,82.2131949203387,32794800
2015-03-27,82.78962707519531,83.43563848359416,82.37219463653898,82.86913115539933,18372600
2015-03-30,82.69023895263672,83.82325368092489,81.90508587574492,83.29650215073039,24527700
2015-03-31,81.71624755859375,82.98840391435628,81.70630670444405,82.39208157042384,19734300
2015-04-01,81.16961669921875,82.21318651867541,80.3745227448877,81.99453321687305,22058200
2015-04-02,81.0602798461914,82.05415285100553,80.94101993850924,81.74605464596091,19664100
2015-04-06,81.93489837646484,82.30262655973476,80.30494714709882,80.30494714709882,19062900
2015-04-07,81.81562805175781,82.90888687524941,81.7162422646494,82.14360797360014,17467000
2015-04-08,81.77586364746094,82.5908391485517,81.33855713084925,82.12371765719809,18966700
2015-04-09,81.66654968261719,82.29269457989118,81.20936897283056,81.9945296209369,15927300
2015-04-10,81.537353515625,82.10386090350929,81.40815273686202,81.70631013000357,12529700
2015-04-13,82.50141906738281,83.42572147595502,81.4180933021031,81.42803415756008,26883100
2015-04-14,83.0082778930664,83.17724208271234,81.93490070894808,82.66042382494241,19634200
2015-04-15,82.20323944091797,83.1474233924337,81.76593287042017,83.03809674980924,22390900
2015-04-16,81.80567932128906,82.5610248793509,81.64666359375693,81.96470263146999,13769700
2015-04-17,80.28506469726562,81.60691768893804,79.87758068501569,80.98078038992728,24215000
2015-04-20,82.58091735839844,82.64055490429728,80.74225352595235,81.04041850749516,28796800
2015-04-21,83.107666015625,83.9723307042111,83.02815435289423,83.48533503962184,27171900
2015-04-22,84.1114730834961,84.22079972507743,83.13748174550732,83.80337486593938,45548000
2015-04-23,81.90508270263672,85.06559176136155,81.90508270263672,83.58472302169776,73728100
2015-04-24,81.03046417236328,82.43182873677031,80.9807750721395,82.26286456459165,29660400
2015-04-27,81.40814971923828,82.42189695058265,81.1298588802447,81.36839388509634,25446000
2015-04-28,80.18567657470703,81.3982028877216,79.73843674308995,81.3286320787445,23775300
2015-04-29,79.97697448730469,80.89133597568474,79.03279043466512,79.51979374311466,26430300
2015-04-30,78.28738403320312,80.46396863991473,77.84014415251048,79.51979218838567,28999000
2015-05-01,78.50602722167969,79.27131368844074,77.63142169945924,78.75449547508144,24136400
2015-05-04,78.3271255493164,79.20173860699121,78.14822811321464,78.84394373478769,14692000
2015-05-05,77.08479309082031,78.31720116045467,76.7468798857801,78.068732892284,22311300
2015-05-06,77.6214828491211,78.32713179707271,76.57792070749527,77.49228208377205,28663000
2015-05-07,77.949462890625,78.45634026455781,77.08479061540429,77.52209717978941,19749400
2015-05-08,78.02898406982422,78.74457395967052,77.55192161570986,78.61536559571744,19943600
2015-05-11,77.53204345703125,78.5457906931632,77.45253178837187,77.99916503209256,18874100
2015-05-12,76.98540496826172,77.41277067987673,76.3195118495696,77.39289655539095,21285300
